nutrient,value,nutrient_api
Fat,38.0,Total lipid (fat)
Saturated fat,20.0,"Fatty acids, total saturated"
Cholesterol,300.0,Cholesterol
Total carbohydrates,275.0,"Carbohydrate, by difference"
Sodium,2300.0,"Sodium, Na"
Dietary Fiber,28.0,"Fiber, total dietary"
Protein,50.0,Protein
Added sugars,50.0,"Sugars, added"
Vitamin A,900.0,"Vitamin A, RAE"
Vitamin C,90.0,"Vitamin C, total ascorbic acid"
Calcium,1300.0,"Calcium, Ca"
Iron,18.0,"Iron, Fe"
Vitamin D,20.0,Vitamin D (D2 + D3)
Vitamin E,15.0,Vitamin E (alpha-tocopherol)
Vitamin K,120.0,Vitamin K (phylloquinone)
Thiamin,1.2,Thiamin
Riboflavin,1.3,Riboflavin
Niacin,16.0,Niacin
Vitamin B6,1.7,Vitamin B-6
Folate,400.0,"Folate, DFE"
Vitamin B12,2.4,Vitamin B-12
Biotin,30.0,Biotin
Pantothenic acid,5.0,Pantothenic acid
Phosphorus,1250.0,"Phosphorus, P"
Magnesium,420.0,"Magnesium, Mg"
Zinc,11.0,"Zinc, Zn"
Selenium,55.0,"Selenium, Se"
Copper,0.9,"Copper, Cu"
Manganese,2.3,"Manganese, Mn"
Molybdenum,45.0,"Molybdenum, Mo"
Potassium,4700.0,"Potassium, K"
Choline,550.0,"Choline, total"
